episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
133,846,14228.456608790893,40,31,0,100,6272.962526145516,3.8219070133963755,0.07880220646178093,0,0.7880220646178093,1.1820330969267139,0.09193590753874442,0,0,0,94.03729971105858
134,783,12331.06899472372,40,29,0,100,6831.228028644758,2.380123069778242,0,0,0.1277139208173691,0.9288285150354115,0.15093463369325438,0,0,0,96.41239986067572
135,720,10349.335181320741,40,21,0,100,10143.050510674584,12.478070175438596,0,0,0.4312865497076022,0.7821637426900585,0.6359649122807018,0,0,0,85.67251461988305
136,727,10307.222615977369,40,25,0,100,8427.767691863965,15.249885373681797,0.16506189821182943,0,0.907840440165062,1.5497478220999543,0.8253094910591472,0,0,0,81.30215497478221
137,734,10570.68153525361,40,24,0,100,10973.059965459011,14.381811989100816,0.04257493188010899,0,0.6130790190735692,1.098433242506812,1.4901226158038146,0,0,0,82.37397820163486
138,723,10224.060407445531,40,27,0,100,7715.948895002735,14.288754122779018,0.08511543781253325,0,1.0426641132035321,1.3724864347270986,1.298010426641132,0,0,0,81.9129694648367
139,724,10460.927292398259,40,26,0,100,8690.768543853113,9.698105761641676,0.05919494869771113,0,0.16771902131018154,1.5193370165745856,2.0816890292028414,0,0,0,86.473954222573
140,892,13540.05489879799,40,28,2,96,8120.867927314121,12.191704035874439,0.03736920777279522,0,1.9151718983557553,0.9155455904334828,0.17750373692077726,0,0,0,84.76270553064276
141,744,11080.020658097861,40,25,0,100,9386.31603237781,6.765232974910394,0,0,1.1290322580645156,1.3440860215053763,0.8781362007168458,0,0,0,89.88351254480285
142,734,10630.816775567297,40,25,0,100,8516.930839232009,15.658492279745685,0,0,1.7166212534059941,2.23433242506812,0.6539509536784741,0,0,0,79.73660308810173
143,729,10546.397062568625,40,22,0,100,9802.990862318942,18.442310623380582,0,0,0.5105928974241732,1.63846974546563,1.066910531931108,0,0,0,78.3417162017985
144,749,8974.554134590562,40,29,1,98,6903.2300376586145,9.090909090909092,0,0,0.13351134846461948,2.500303434882874,0.8253428814176478,0,0,0,87.44993324432578
