episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
122,2884,76660.29345032069,40,23,1,98,6187.768000155874,2.482662968099861,0.020804438280166433,0,2.25381414701803,0.8113730929264908,1.740638002773925,0,0,0,92.69070735090152
123,3398,87526.23891423614,40,24,3,94,3861.2048194314466,0.7430841671571513,0,0,0.9932313125367862,0.4046497939964685,0.06621542083578576,0,0,0,97.79281930547381
124,2504,64862.405543472756,40,18,1,98,12533.92289855898,5.55111821086262,0,0,1.641373801916933,0.5391373801916932,1.4137380191693292,0,0,0,90.85463258785941
125,2880,75439.2800673833,40,23,2,96,7506.2682729658445,3.125,0,0,1.7916666666666665,0.27777777777777773,0.1111111111111111,0,0,0,94.69444444444444
126,2374,60510.022584075894,40,20,1,98,8110.404481447385,2.9907329401853406,0,0,1.2373631002527379,0.9582982308340353,1.174178601516428,0,0,0,93.63942712721145
127,3394,88239.15346511453,40,25,2,96,5359.266794748788,2.769593400117855,0,0,1.9347868788057356,0.3044588489491259,0.5107051659791789,0,0,0,94.4804557061481
128,3420,78615.27115743466,40,26,7,86,2657.610819230789,7.16374269005848,61.52046783625731,0,4.7953216374269,0.4824561403508772,0.7163742690058479,0,0,0,25.321637426900587
129,2859,79097.60159361278,40,21,0,100,7913.0864349632875,2.5583370808974166,0,0,1.3091490531154748,0.5196622195572878,0.8694348673362313,0,0,0,94.7434167790936
130,2402,60631.76455721825,40,19,0,100,12265.153891637787,2.419280229438431,0,0,0.744749745582385,1.2998427236562125,2.0492182440558793,0,0,0,93.4869090572671
131,2907,76792.46357355341,40,23,1,98,5980.062170044523,3.2817337461300307,0.0068799449604403165,0,2.8964568283453733,0.5985552115583075,0.46783625730994155,0,0,0,92.7485380116959
132,2856,74880.27724620537,40,21,1,98,9342.520241127546,4.496798719487796,0,0,2.300920368147259,0.22509003601440575,0.6002400960384153,0,0,0,92.37695078031213
133,2932,77140.39272098879,40,24,2,96,3434.5632347019555,1.9099590723055935,18.997271487039566,0,1.5688949522510232,0.5712824010914053,0.4433833560709413,0,0,0,76.50920873124147
134,2854,71799.87066611266,40,23,2,96,8149.888290170769,3.798177995795375,0,0,2.5367904695164682,0.5466012613875262,1.3034337771548703,0,0,0,91.81499649614577
135,4156,115237.78989327917,40,23,0,100,7668.130660690679,2.256977863330125,0,0,1.5640038498556306,0.7170356111645814,1.1838306063522617,0,0,0,94.2781520692974
136,3420,77401.19608418664,40,26,9,82,2137.3900278385863,7.485380116959064,72.88011695906432,0,3.0994152046783623,0.07309941520467836,0.30701754385964913,0,0,0,16.15497076023392
137,3420,80480.40840614834,40,26,7,86,1262.0799702307775,1.0380116959064327,76.34502923976608,0,2.573099415204678,0.8333333333333333,0,0,0,0,19.210526315789473
138,2897,77489.06755016794,40,23,0,100,6647.689663161672,4.432171211598205,0,0,2.305833620987228,0.6489471867449086,0.29685881946841564,0,0,0,92.31618916120124
139,2874,71020.25389756438,40,22,3,94,6836.66187941581,4.424727441428903,0,0,1.9427047088842497,0.3653444676409186,0.5161215495244723,0,0,0,92.75110183252146
140,2905,76339.31507092458,40,24,1,98,5570.617757197099,3.6316695352839936,0,0,2.306368330464716,0.6626506024096386,0.6024096385542168,0,0,0,92.79690189328744
141,3420,76159.84354222882,40,26,8,84,1987.0949965134125,2.6754385964912277,71.4766081871345,0,3.508771929824561,0.24853801169590645,1.1111111111111112,0,0,0,20.97953216374269
142,2839,77326.13580519069,40,21,0,100,6730.22138949451,4.035626226538519,8.37316962713229,0,2.1738036531978056,0.4880994313893222,1.016454485986011,0,0,0,83.91284657575603
143,3381,93072.86001971959,40,24,1,98,4247.569283605965,2.7654540076900327,0,0,2.0260278024253178,0.2883762200532387,0.2070393374741201,0,0,0,94.71310263235729
144,2964,73236.69315615487,40,26,4,92,2322.4722197283295,1.8387314439946019,30.516194331983804,0,3.8967611336032393,0.5060728744939271,0.5398110661268556,0,0,0,62.702429149797574
145,2843,75937.28354316077,40,21,1,98,8956.675835193406,5.40676347922215,0,0,2.8340284407818697,0.3266167529269886,0.27134314858549824,0,0,0,91.1612481784835
146,2932,77334.25252305291,40,22,1,98,7911.459845693025,4.570259208731242,0,0,2.256707594361073,0.39790814006366537,0.6366530241018644,0,0,0,92.13847203274216
147,3420,89733.3772763415,40,26,3,94,1889.5946245676682,0.804093567251462,47.73391812865497,0,2.280701754385965,0.672514619883041,0.10233918128654972,0,0,0,48.40643274853801
148,2927,70048.85623060334,40,25,4,92,4150.624812623668,7.0606992369889525,26.933151121740124,0,6.206582393804806,0.2619291652431386,0.0341646737273659,0,0,0,59.50347340849561
149,2869,74272.28394932665,40,23,1,98,6593.684713768132,5.507145346810735,0,0,2.4886720111537124,0.2997560125479261,0.04182642035552457,0,0,0,91.66260020913211
150,2928,74702.10518881245,40,26,2,96,3883.4919306169186,0.5976775956284153,16.10314207650273,0,2.5273224043715845,0.11953551912568307,0.25614754098360654,0,0,0,80.39617486338798
